"Метка","Корпус","Значение"
"BQ1","PEC11","T паяльника"
"BQ2","PEC11","T фена"
"C1","CAP250RP","470uf"
"C2","CAP_0805","0.100nf"
"C3","CAP_0805","22pf"
"C4","CAP_0805","22pf"
"D1","LED-3R_Green",""
"D2","TO-220",""
"J1","PLS_4",""
"J2","DF4-16DP-2C",""
"J3","51015-0200",""
"J4","51015-0200",""
"J5","IDC6M",""
"J6","51015-0200",""
"J7","DF4-4DP-2C","Funs"
"J8","PLS_4",""
"J9","PLS_4",""
"J10","PLS_5",""
"J11","51015-0600",""
"K1","SW","RESET"
"K2","SW","Паяльник"
"K3","SW","Фен"
"Q1","TO-220","Паяльник"
"Q2","TO-220","Мотор фена"
"R1","RES-12.7/7.6x2.5","10К"
"R2","RES-12.7/7.6x2.5","220К"
"R3","3296W","10К"
"R4","RES-12.7/7.6x2.5","10К"
"R5","RES-12.7/7.6x2.5","10k"
"R6","RES-12.7/7.6x2.5","330"
"R7","RES-12.7/7.6x2.5","10k"
"R8","RES-12.7/7.6x2.5","220К"
"R9","3296W",""
"R10","SIP-6/14.7x2x2.54",""
"R11","SIP-6/14.7x2x2.54",""
"R12","RES-12.7/7.6x2.5","10К"
"R13","RES-12.7/7.6x2.5","330"
"R14","RES-12.7/7.6x2.5","10k"
"R15","EVUF",""
"R16","RES-12.7/7.6x2.5","330"
"R17","RES-12.7/7.6x2.5","330"
"R18","RES-12.7/7.6x2.5","22k"
"R19","RES-12.7/7.6x2.5","10k"
"S1","TS-C",""
"U1","TO-220",""
"U2","DIP-28",""
"U3","DIP-8","Фен"
"U4","DIP-16",""
"VD1","LED_3_G",""
"VD2","LED_3_G",""
"VD3","LED_3_G",""
"VO1","DIP-6",""
"Y1","HC-49U","16MHz"
